Laiks,Lietot?ji,Datu b?ze,Fibonacci,Indekss
00:00,,,,
00:15,20,0.1204,0.1902,0.1099
00:30,30,0.1842,0.3532,0.1836
00:45,50,0.3246,0.5754,0.3322
01:00,60,0.4370,0.5796,0.4534
01:15,80,0.5947,0.6012,0.5975
01:30,90,0.7213,0.7199,0.7348
01:45,110,0.8616,0.8704,0.8836
02:00,120,0.9659,0.9810,0.9817
02:15,140,1.0967,1.1137,1.1085
02:30,150,1.2109,1.2122,1.2367
02:45,170,1.3545,1.3629,1.3796
03:00,180,1.4518,1.4614,1.4794
03:15,200,1.6247,1.6305,1.6354
03:30,200,1.6762,1.6781,1.7146
03:45,200,1.6740,1.6743,1.6892
04:00,200,1.6059,1.6070,1.6242
04:15,200,1.6467,1.6583,1.6823
04:30,200,1.6358,1.6390,1.6694
04:45,200,1.6603,1.6886,1.6621
05:00,200,1.6288,1.6121,1.6809
