Laiks,Lietot?ji,Datu b?ze,Fibonacci,Indekss
00:00,,,,
00:15,20,0.0165,0.0110,0.0073
00:30,30,0.0305,0.0261,0.0134
00:45,50,0.0733,0.0336,0.0156
01:00,60,0.1226,0.0351,0.0243
01:15,80,0.1561,0.0311,0.0182
01:30,90,0.2086,0.0420,0.0206
01:45,110,0.2244,0.0396,0.0172
02:00,120,0.2591,0.0391,0.0255
02:15,140,0.3209,0.0365,0.0226
02:30,150,0.3755,0.0444,0.0488
02:45,170,0.3636,0.0432,0.0214
03:00,180,0.3869,0.0309,0.0190
03:15,200,0.4530,0.0447,0.0401
03:30,200,0.4607,0.0363,0.0427
03:45,200,0.4456,0.0342,0.0193
04:00,200,0.4291,0.0342,0.0226
04:15,200,0.4487,0.0380,0.0376
04:30,200,0.6394,0.0556,0.0236
04:45,200,0.4891,0.0557,0.0288
05:00,200,0.4531,0.0403,0.0223
