Laiks,Lietot?ji,Datu b?ze,Fibonacci,Indekss
00:00,,,,
00:15,20,0.0143,0.0155,0.0145
00:30,30,0.0348,0.0335,0.0336
00:45,50,0.0485,0.0481,0.0480
01:00,60,0.0693,0.0741,0.0745
01:15,80,0.0815,0.0844,0.0816
01:30,90,0.1152,0.1151,0.1113
01:45,110,0.1135,0.1158,0.1126
02:00,120,0.1537,0.1533,0.1389
02:15,140,0.1640,0.1544,0.1709
02:30,150,0.1742,0.1606,0.1624
02:45,170,0.1894,0.1965,0.2074
03:00,180,0.2046,0.2069,0.2005
03:15,200,0.2387,0.2253,0.2425
03:30,200,0.2143,0.2285,0.2216
03:45,200,0.2178,0.2341,0.2170
04:00,200,0.2363,0.2321,0.2215
04:15,200,0.2177,0.2306,0.2238
04:30,200,0.2181,0.2445,0.2851
04:45,200,0.2254,0.2300,0.2225
05:00,200,0.2067,0.2472,0.2196
